country_name,region_name,,,,,,
American Samoa,East Asia and Pacific,,,,,,"""Aruba""                        ""Afghanistan""                 "
Australia,East Asia and Pacific,,,,,,"   ""Angola""                       ""Albania""                     "
Brunei,East Asia and Pacific,,,,,,"  [5] ""Andorra""                      ""United Arab Emirates""        "
Cambodia,East Asia and Pacific,,,,,,"  [7] ""Argentina""                    ""Australia""                   "
China,East Asia and Pacific,,,,,,"  [9] ""Austria""                      ""Azerbaijan""                  "
Fiji,East Asia and Pacific,,,,,," [11] ""Burundi""                      ""Belgium""                     "
French Polynesia,East Asia and Pacific,,,,,," [13] ""Benin""                        ""Burkina Faso""                "
Guam,East Asia and Pacific,,,,,," [15] ""Bangladesh""                   ""Bulgaria""                    "
Hong Kong,East Asia and Pacific,,,,,," [17] ""Bahrain""                      ""Bahamas""                     "
Indonesia,East Asia and Pacific,,,,,," [19] ""Bosnia and Herzegovina""       ""Belarus""                     "
Japan,East Asia and Pacific,,,,,," [21] ""Belize""                       ""Bermuda""                     "
Kiribati,East Asia and Pacific,,,,,," [23] ""Bolivia""                      ""Brazil""                      "
South Korea,East Asia and Pacific,,,,,," [25] ""Barbados""                     ""Brunei""                      "
Laos,East Asia and Pacific,,,,,," [27] ""Bhutan""                       ""Botswana""                    "
Macao,East Asia and Pacific,,,,,," [29] ""Central African Republic""     ""Canada""                      "
Malaysia,East Asia and Pacific,,,,,," [31] ""Switzerland""                  ""Chile""                       "
Marshall Islands,East Asia and Pacific,,,,,," [33] ""China""                        ""Cote d'Ivoire""               "
Mongolia,East Asia and Pacific,,,,,," [35] ""Cameroon""                     ""Democratic Republic of Congo"""
Myanmar,East Asia and Pacific,,,,,," [37] ""Congo""                        ""Colombia""                    "
Nauru,East Asia and Pacific,,,,,," [39] ""Cape Verde""                   ""Costa Rica""                  "
New Caledonia,East Asia and Pacific,,,,,," [41] ""Cuba""                         ""Cyprus""                      "
New Zealand,East Asia and Pacific,,,,,," [43] ""Czech Republic""               ""Germany""                     "
Palau,East Asia and Pacific,,,,,," [45] ""Djibouti""                     ""Dominica""                    "
Philippines,East Asia and Pacific,,,,,," [47] ""Denmark""                      ""Dominican Republic""          "
Samoa,East Asia and Pacific,,,,,," [49] ""Algeria""                      ""Ecuador""                     "
Singapore,East Asia and Pacific,,,,,," [51] ""Egypt""                        ""Eritrea""                     "
Solomon Islands,East Asia and Pacific,,,,,," [53] ""Spain""                        ""Estonia""                     "
Taiwan,East Asia and Pacific,,,,,," [55] ""Ethiopia""                     ""Finland""                     "
Thailand,East Asia and Pacific,,,,,," [57] ""Fiji""                         ""France""                      "
Timor-Leste,East Asia and Pacific,,,,,," [59] ""Faeroe Islands""               ""Gabon""                       "
Papua New Guinea,East Asia and Pacific,,,,,," [61] ""United Kingdom""               ""Georgia""                     "
Tonga,East Asia and Pacific,,,,,," [63] ""Ghana""                        ""Guinea""                      "
Tuvalu,East Asia and Pacific,,,,,," [65] ""Gambia""                       ""Greece""                      "
Vanuatu,East Asia and Pacific,,,,,," [67] ""Greenland""                    ""Guatemala""                   "
Vietnam,East Asia and Pacific,,,,,," [69] ""Guam""                         ""Guyana""                      "
Albania,Europe and Central Asia,,,,,," [71] ""Hong Kong""                    ""Honduras""                    "
Andorra,Europe and Central Asia,,,,,," [73] ""Croatia""                      ""Haiti""                       "
Armenia,Europe and Central Asia,,,,,," [75] ""Hungary""                      ""Indonesia""                   "
Austria,Europe and Central Asia,,,,,," [77] ""India""                        ""Ireland""                     "
Azerbaijan,Europe and Central Asia,,,,,," [79] ""Iran""                         ""Iraq""                        "
Belarus,Europe and Central Asia,,,,,," [81] ""Iceland""                      ""Israel""                      "
Belgium,Europe and Central Asia,,,,,," [83] ""Italy""                        ""Jamaica""                     "
Bosnia and Herzegovina,Europe and Central Asia,,,,,," [85] ""Jordan""                       ""Japan""                       "
Bulgaria,Europe and Central Asia,,,,,," [87] ""Kazakhstan""                   ""Kenya""                       "
Channel Islands,Europe and Central Asia,,,,,," [89] ""Kyrgyz Republic""              ""Cambodia""                    "
Croatia,Europe and Central Asia,,,,,," [91] ""Kiribati""                     ""South Korea""                 "
Cyprus,Europe and Central Asia,,,,,," [93] ""Kuwait""                       ""Laos""                        "
Czech Republic,Europe and Central Asia,,,,,," [95] ""Lebanon""                      ""Liberia""                     "
Denmark,Europe and Central Asia,,,,,," [97] ""Libya""                        ""Liechtenstein""               "
Estonia,Europe and Central Asia,,,,,," [99] ""Sri Lanka""                    ""Lesotho""                     "
Faroe Islands,Europe and Central Asia,,,,,,"[101] ""Lithuania""                    ""Luxembourg""                  "
Finland,Europe and Central Asia,,,,,,"[103] ""Latvia""                       ""Macao""                       "
France,Europe and Central Asia,,,,,,"[105] ""Morocco""                      ""Monaco""                      "
Georgia,Europe and Central Asia,,,,,,"[107] ""Moldova""                      ""Madagascar""                  "
Germany,Europe and Central Asia,,,,,,"[109] ""Mexico""                       ""Mali""                        "
Gibraltar,Europe and Central Asia,,,,,,"[111] ""Malta""                        ""Myanmar""                     "
Greece,Europe and Central Asia,,,,,,"[113] ""Mongolia""                     ""Mozambique""                  "
Greenland,Europe and Central Asia,,,,,,"[115] ""Mauritania""                   ""Mauritius""                   "
Hungary,Europe and Central Asia,,,,,,"[117] ""Malawi""                       ""Malaysia""                    "
Iceland,Europe and Central Asia,,,,,,"[119] ""Namibia""                      ""Niger""                       "
Ireland,Europe and Central Asia,,,,,,"[121] ""Nigeria""                      ""Nicaragua""                   "
Isle of Man,Europe and Central Asia,,,,,,"[123] ""Netherlands""                  ""Norway""                      "
Italy,Europe and Central Asia,,,,,,"[125] ""Nepal""                        ""New Zealand""                 "
Kazakhstan,Europe and Central Asia,,,,,,"[127] ""Oman""                         ""Pakistan""                    "
Kosovo,Europe and Central Asia,,,,,,"[129] ""Panama""                       ""Peru""                        "
Kyrgyz Republic,Europe and Central Asia,,,,,,"[131] ""Philippines""                  ""Papua New Guinea""            "
Latvia,Europe and Central Asia,,,,,,"[133] ""Poland""                       ""Puerto Rico""                 "
Liechtenstein,Europe and Central Asia,,,,,,"[135] ""Portugal""                     ""Paraguay""                    "
Lithuania,Europe and Central Asia,,,,,,"[137] ""Palestine""                    ""Qatar""                       "
Luxembourg,Europe and Central Asia,,,,,,"[139] ""Kosovo""                       ""Romania""                     "
Moldova,Europe and Central Asia,,,,,,"[141] ""Russia""                       ""Rwanda""                      "
Monaco,Europe and Central Asia,,,,,,"[143] ""Saudi Arabia""                 ""Sudan""                       "
Montenegro,Europe and Central Asia,,,,,,"[145] ""Senegal""                      ""Singapore""                   "
Netherlands,Europe and Central Asia,,,,,,"[147] ""Solomon Islands""              ""Sierra Leone""                "
North Macedonia,Europe and Central Asia,,,,,,"[149] ""El Salvador""                  ""San Marino""                  "
Norway,Europe and Central Asia,,,,,,"[151] ""Somalia""                      ""Serbia""                      "
Poland,Europe and Central Asia,,,,,,"[153] ""South Sudan""                  ""Suriname""                    "
Portugal,Europe and Central Asia,,,,,,"[155] ""Slovak Republic""              ""Slovenia""                    "
Romania,Europe and Central Asia,,,,,,"[157] ""Sweden""                       ""Eswatini""                    "
Russia,Europe and Central Asia,,,,,,"[159] ""Seychelles""                   ""Syria""                       "
San Marino,Europe and Central Asia,,,,,,"[161] ""Chad""                         ""Togo""                        "
Serbia,Europe and Central Asia,,,,,,"[163] ""Thailand""                     ""Tajikistan""                  "
Slovak Republic,Europe and Central Asia,,,,,,"[165] ""Turkmenistan""                 ""Timor-Leste""                 "
Slovenia,Europe and Central Asia,,,,,,"[167] ""Tonga""                        ""Trinidad and Tobago""         "
Spain,Europe and Central Asia,,,,,,"[169] ""Tunisia""                      ""Turkey""                      "
Sweden,Europe and Central Asia,,,,,,"[171] ""Taiwan""                       ""Tanzania""                    "
Switzerland,Europe and Central Asia,,,,,,"[173] ""Uganda""                       ""Ukraine""                     "
Tajikistan,Europe and Central Asia,,,,,,"[175] ""Uruguay""                      ""United States""               "
Turkey,Europe and Central Asia,,,,,,"[177] ""Uzbekistan""                   ""Venezuela""                   "
Turkmenistan,Europe and Central Asia,,,,,,"[179] ""United States Virgin Islands"" ""Vietnam""                     "
Ukraine,Europe and Central Asia,,,,,,"[181] ""Vanuatu""                      ""Yemen""                       "
United Kingdom,Europe and Central Asia,,,,,,"[183] ""South Africa""                 ""Zambia""                      "
